stem_porter,n,terms
gener,8,general generalities generalized generally generating generation generations generous
blind,5,blind blinded blinding blindness blinds
happen,5,happen happened happening happenings happens
play,5,play played playfully playing plays
care,5,care cared careful carefully cares
remark,5,remark remarkable remarked remarking remarks
love,5,love loved lovely loves loving
murmur,5,murmur murmured murmuring murmurous murmurs
carri,4,carried carries carry carrying
secur,4,secure securely securities security
watch,4,watch watched watchfully watching
begin,4,begin beginning beginnings begins
remain,4,remain remained remaining remains
continu,4,continual continually continued continuously
whisper,4,whisper whispered whisperings whispers
lie,4,lie lied lies lying
part,4,part parted parting parts
affect,4,affect affectations affected affection
face,4,face faced faces facing
live,4,live lived lives living
arriv,4,arrival arrivals arrive arrived
breath,4,breath breathe breathing breaths
chang,4,change changed changes changing
natur,4,natural naturally nature natures
shade,4,shade shaded shades shading
invit,4,invitation invitations invite invited
intent,4,intent intention intentions intently
suggest,4,suggest suggested suggestion suggestiveness
respons,4,response responsible responsive responsiveness
cri,4,cried cries cry crying
thank,4,thank thanked thanking thanks
dress,4,dress dressed dresses dressing
rippl,4,ripple rippled ripples rippling
photograph,4,photograph photographed photographer photographers
wonder,4,wonder wondered wonderful wondering
address,4,address addressed addresses addressing
work,4,work worked working works
wave,4,wave waved waves waving
sign,4,sign signed signing signs
imagin,4,imagination imagine imagined imagining
want,4,want wanted wanting wants
start,4,start started starting starts
excit,4,excite excited excitement exciting
follow,4,follow followed following follows
suspect,4,suspect suspected suspecting suspects
wander,4,wander wandered wanderers wandering
realiz,4,realize realized realizes realizing
drop,4,drop dropped dropping drops
smile,4,smile smiled smiles smiling
danc,4,dance danced dances dancing
talk,4,talk talked talking talks
block,4,block blocked blocking blocks
desir,4,desirable desire desired desires
walk,4,walk walked walking walks
reassur,4,reassurance reassure reassured reassuring
correct,4,correct corrected correction correctness
smoke,4,smoke smoked smokeing smoking
look,4,look looked looking looks
tri,4,tried tries try trying
glanc,4,glance glanced glances glancing
struggl,4,struggle struggled struggles struggling
disapprov,4,disapproval disapprove disapproved disapproving
promis,4,promise promised promises promising
wast,3,waste wasteful wasting
warn,3,warn warned warning
open,3,open opened opening
build,3,build building buildings
astonish,3,astonished astonishing astonishment
cool,3,cool cooled cooling
lurch,3,lurch lurched lurches
ask,3,ask asked asking
slap,3,slap slapped slapping
own,3,own owned owns
point,3,point pointed pointing
grasp,3,grasp grasped grasping
univers,3,universal universe universities
refer,3,reference referred referring
call,3,call called calling
rememb,3,remember remembered remembering
make,3,make makes making
appear,3,appearance appeared appears
impress,3,impression impressive impressively
pleas,3,please pleased pleasing
shut,3,shut shuts shutting
report,3,reported reporter reports
nod,3,nod nodded nodding
take,3,take takes taking
apart,3,apart apartment apartments
glow,3,glow glowed glowing
show,3,show showed shows
shoulder,3,shoulder shouldered shoulders
marri,3,married marry marrying
stop,3,stop stopped stopping
entertain,3,entertain entertained entertainment
refus,3,refusal refuse refused
arrang,3,arrange arrangement arrangements
pack,3,pack packed packing
elud,3,eluded eludes eluding
pocket,3,pocket pocketing pockets
grace,3,grace graceful gracefully
stir,3,stir stirred stirring
burn,3,burn burning burns
end,3,end ended ends
enter,3,enter entered entering
wear,3,wear wearing wears
plung,3,plunge plunged plunging
join,3,join joined joins
paint,3,paint painted painting
enjoy,3,enjoy enjoyed enjoying
laugh,3,laugh laughed laughing
turn,3,turn turned turning
hurri,3,hurried hurry hurrying
echo,3,echoed echoes echoing
push,3,push pushed pushing
bore,3,bore bored bores
believ,3,believe believed believing
splash,3,splash splashed splashing
heap,3,heap heaped heaps
head,3,head headed heads
order,3,order ordered orders
studi,3,studied studies study
pull,3,pull pulled pulling
hope,3,hope hoped hoping
bother,3,bother bothered bothering
know,3,know knowing knows
knock,3,knock knocked knocking
success,3,success successful successfully
power,3,power powerful powers
offic,3,office officer officers
belong,3,belong belonged belongs
light,3,light lighted lights
despis,3,despise despised despising
blow,3,blow blowing blows
step,3,step stepped steps
stay,3,stay stayed staying
hesit,3,hesitant hesitated hesitation
lean,3,lean leaned leaning
strain,3,strain strained straining
leav,3,leave leaves leaving
sport,3,sport sporting sports
determin,3,determination determine determined
stare,3,stare stared staring
stand,3,stand standing stands
die,3,die died dying
help,3,help helped helpfully
spot,3,spot spots spotted
do,3,do doing doings
sound,3,sound sounded sounds
groan,3,groan groaned groaning
brood,3,brood brooded brooding
object,3,object objected objects
posit,3,position positive positively
confus,3,confuse confused confusion
sob,3,sob sobbed sobs
back,3,back backed backs
demand,3,demand demanded demands
avoid,3,avoid avoided avoiding
drift,3,drift drifted drifting
cours,3,course coursed courses
read,3,read reading reads
wail,3,wail wailed wailing
wait,3,wait waited waiting
surpris,3,surprise surprised surprising
slip,3,slip slipped slipping
oblig,3,obligations obliged obliging
possess,3,possessed possessions possessively
like,3,like liked likely
obscur,3,obscure obscurely obscurity
pour,3,pour poured pouring
kiss,3,kiss kissed kissing
limit,3,limit limited limits
linger,3,linger lingered lingering
doubt,3,doubt doubted doubtfully
cross,3,cross crossed crossing
race,3,race raced races
possibl,3,possibilities possible possibly
hand,3,hand handed hands
draw,3,draw drawing draws
listen,3,listen listened listening
suit,3,suit suite suits
critic,3,critical criticism criticizing
dream,3,dream dreamed dreams
connect,3,connected connecting connection
rumour,3,rumour rumoured rumours
trace,3,trace traced tracing
tell,3,tell telling tells
mysteri,3,mysteries mysterious mystery
casual,3,casual casually casualness
fade,3,fade faded fading
return,3,return returned returning
name,3,name named names
shadow,3,shadow shadowed shadows
shake,3,shake shakes shaking
come,3,come comes coming
flutter,3,flutter fluttered fluttering
get,3,get gets getting
eye,3,eye eyed eyes
mumbl,3,mumble mumbled mumbles
fix,3,fix fixed fixing
shape,3,shape shaped shapes
answer,3,answer answered answering
complet,3,complete completed completely
garden,3,garden gardener gardens
meet,3,meet meeting meetings
cloth,3,cloth clothed clothes
rest,3,rest rested resting
seem,3,seem seemed seems
see,3,see seeing sees
flush,3,flush flushed flushing
celebr,3,celebrated celebrities celebrity
incredul,3,incredulity incredulous incredulously
alarm,3,alarm alarmed alarming
flash,3,flash flashed flashing
gather,3,gather gathered gathering
move,3,move moved moving
wit,3,wit witness witnessed
close,3,close closed closing
fashion,3,fashion fashionable fashionably
say,3,say saying says
person,3,person personal personality
revolv,3,revolved revolver revolving
touch,3,touch touched touching
tip,3,tip tipped tipping
think,3,think thinking thinks
climb,3,climb climbed climbing
click,3,click clicked clicking
cheer,3,cheer cheerful cheerfully
pile,3,pile piled piles
flower,3,flower flowered flowers
commun,3,communicated communicative communities
fall,3,fall falling falls
interrupt,3,interrupt interrupted interruption
catch,3,catch catches catching
measur,3,measure measured measures
indic,3,indicate indicated indicating
need,3,need needed needs
gleam,3,gleam gleamed gleaming
admir,3,admiration admire admired
search,3,search searched searching
tie,3,tie tied ties
matter,3,matter mattered matters
interest,3,interest interested interesting
shock,3,shock shocked shocks
instinct,3,instinct instinctive instinctively
figur,3,figure figured figures
fill,3,fill filled filling
account,3,account accounted accounting
final,3,final finally finals
confid,3,confidences confident confidently
form,3,form formed forms
annoy,3,annoy annoyance annoyed
rush,3,rush rushed rushing
marvel,3,marvelled marvelling marvellous
invent,3,invent invented inventions
run,3,run running runs
park,3,park parke parked
pass,3,pass passed passing
reserv,3,reserve reserved reserving
shift,3,shift shifted shifting
pick,3,pick picked picking
express,3,express expression expressive
colour,3,colour coloured colours
mean,3,mean meaning means
advanc,3,advance advanced advancing
round,3,round rounded rounds
train,3,train training trains
conceal,3,conceal concealed concealing
give,3,give gives giving
tighten,3,tighten tightened tightening
frown,3,frown frowned frowning
miss,3,miss missed missing
concentr,3,concentrated concentrating concentration
neighbour,3,neighbour neighbouring neighbours
expect,3,expect expected expects
cynic,2,cynical cynically
cloud,2,cloud clouds
hors,2,horse horses
horribl,2,horrible horribly
curv,2,curve curved
hotel,2,hotel hotels
hour,2,hour hours
stumbl,2,stumble stumbled
preced,2,preceded preceding
cut,2,cut cutting
crunch,2,crunch crunched
cup,2,cup cups
cluster,2,cluster clustered
sudden,2,sudden suddenness
horn,2,horn horns
hospit,2,hospitable hospitality
inhabit,2,inhabitants inhabited
curios,2,curiosities curiosity
club,2,club clubs
practic,2,practical practice
powder,2,powder powdered
inform,2,information informed
subject,2,subject subjects
confirm,2,confirmation confirmed
