,Sentence,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
0,"“Whenever you feel like criticizing anyone,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.” He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.",0.8126,0.164,0.031,0.805,1,0,0
1,"In consequence, I’m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.",0.2874,0.132,0.065,0.803,1,0,0
2,Reserving judgements is a matter of infinite hope.,0.4588,0.444,0.0,0.556,1,0,0
3,"And, after boasting this way of my tolerance, I come to the admission that it has a limit.",0.296,0.128,0.0,0.872,1,0,0
4,"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on.",0.775,0.256,0.044,0.7,1,0,0
5,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.,0.1779,0.074,0.056,0.87,1,0,0
6,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",0.9001,0.24,0.0,0.76,1,0,0
7,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament”—it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.",0.9136,0.246,0.0,0.754,1,0,0
8,"No—Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.",0.4767,0.129,0.059,0.813,1,0,0
9,"My family have been prominent, well-to-do people in this Middle Western city for three generations.",0.3182,0.141,0.0,0.859,1,0,0
10,"I never saw this great-uncle, but I’m supposed to look like him—with special reference to the rather hard-boiled painting that hangs in father’s office.",0.7783,0.245,0.0,0.755,1,0,0
11,I enjoyed the counter-raid so thoroughly that I came back restless.,0.296,0.266,0.169,0.565,1,0,0
12,"Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe—so I decided to go East and learn the bond business.",0.5267,0.136,0.0,0.864,1,0,0
13,"Everybody I knew was in the bond business, so I supposed it could support one more single man.",0.4019,0.153,0.0,0.847,1,0,0
14,"Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two.",0.2732,0.1,0.0,0.9,1,0,0
15,"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.",0.9481,0.266,0.0,0.734,1,0,0
16,"I had a dog—at least I had him for a few days until he ran away—and an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.",0.5267,0.091,0.0,0.909,1,0,0
17,"I was a guide, a pathfinder, an original settler.",0.3182,0.315,0.0,0.685,1,0,0
18,He had casually conferred on me the freedom of the neighbourhood.,0.7096,0.396,0.0,0.604,1,0,0
19,"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.",0.8505,0.224,0.0,0.776,1,0,0
20,"There was so much to read, for one thing, and so much fine health to be pulled down out of the young breath-giving air.",0.2682,0.083,0.0,0.917,1,0,0
21,"I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.",0.8402,0.217,0.0,0.783,1,0,0
22,"I was rather literary in college—one year I wrote a series of very solemn and obvious editorials for the Yale News—and now I was going to bring back all such things into my life and become again that most limited of all specialists, the “well-rounded man.” This isn’t just an epigram—life is much more successfully looked at from a single window, after all.",0.1796,0.056,0.061,0.883,1,0,0
23,It was a matter of chance that I should have rented a house in one of the strangest communities in North America.,0.2732,0.154,0.0,0.846,1,0,0
24,"It was on that slender riotous island which extends itself due east of New York—and where there are, among other natural curiosities, two unusual formations of land.",0.4588,0.138,0.0,0.862,1,0,0
25,"Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound.",0.765,0.148,0.0,0.852,1,0,0
26,To the wingless a more interesting phenomenon is their dissimilarity in every particular except shape and size.,0.4576,0.166,0.0,0.834,1,0,0
27,"I lived at West Egg, the—well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them.",0.1604,0.094,0.074,0.833,1,0,0
28,"My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season.",0.3182,0.073,0.0,0.927,1,0,0
29,"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans.",0.3612,0.067,0.0,0.933,1,0,0
30,"Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven—a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savours of anticlimax.",0.8313,0.207,0.037,0.756,1,0,0
31,"His family were enormously wealthy—even in college his freedom with money was a matter for reproach—but now he’d left Chicago and come East in a fashion that rather took your breath away: for instance, he’d brought down a string of polo ponies from Lake Forest.",0.6486,0.117,0.0,0.883,1,0,0
32,It was hard to realize that a man in my own generation was wealthy enough to do that.,0.2732,0.132,0.074,0.794,1,0,0
33,"They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together.",0.5859,0.199,0.073,0.728,1,0,0
