line_num,token_num,token_str,term_str
0,0,The,the
0,1,Project,project
0,2,Gutenberg,gutenberg
0,3,eBook,ebook
0,4,of,of
0,5,The,the
0,6,Great,great
0,7,Gatsby,gatsby
0,8,",",
0,9,by,by
0,10,F.,f
0,11,Scott,scott
0,12,Fitzgerald,fitzgerald
2,0,This,this
2,1,eBook,ebook
2,2,is,is
2,3,for,for
2,4,the,the
2,5,use,use
2,6,of,of
2,7,anyone,anyone
2,8,anywhere,anywhere
2,9,in,in
2,10,the,the
2,11,United,united
2,12,States,states
2,13,and,and
3,0,most,most
3,1,other,other
3,2,parts,parts
3,3,of,of
3,4,the,the
3,5,world,world
3,6,at,at
3,7,no,no
3,8,cost,cost
3,9,and,and
3,10,with,with
3,11,almost,almost
3,12,no,no
3,13,restrictions,restrictions
4,0,whatsoever,whatsoever
4,1,.,
4,2,You,you
4,3,may,may
4,4,copy,copy
4,5,it,it
4,6,",",
4,7,give,give
4,8,it,it
4,9,away,away
4,10,or,or
4,11,re-use,reuse
4,12,it,it
4,13,under,under
4,14,the,the
4,15,terms,terms
5,0,of,of
5,1,the,the
5,2,Project,project
5,3,Gutenberg,gutenberg
5,4,License,license
5,5,included,included
5,6,with,with
5,7,this,this
5,8,eBook,ebook
5,9,or,or
5,10,online,online
5,11,at,at
6,0,www.gutenberg.org,wwwgutenbergorg
6,1,.,
6,2,If,if
6,3,you,you
6,4,are,are
6,5,not,not
6,6,located,located
6,7,in,in
6,8,the,the
6,9,United,united
6,10,States,states
6,11,",",
6,12,you,you
7,0,will,will
7,1,have,have
7,2,to,to
7,3,check,check
7,4,the,the
7,5,laws,laws
7,6,of,of
7,7,the,the
7,8,country,country
7,9,where,where
7,10,you,you
7,11,are,are
7,12,located,located
7,13,before,before
8,0,using,using
8,1,this,this
8,2,eBook,ebook
8,3,.,
10,0,Title,title
10,1,:,
10,2,The,the
10,3,Great,great
10,4,Gatsby,gatsby
12,0,Author,author
12,1,:,
12,2,F.,f
12,3,Scott,scott
12,4,Fitzgerald,fitzgerald
14,0,Release,release
14,1,Date,date
14,2,:,
14,3,January,january
14,4,17,17
14,5,",",
