chap_num,para_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id
1,0,0,0,"('In', 'IN')",IN,In,in,100
1,0,0,1,"('my', 'PRP$')",PRP$,my,my,100
1,0,0,2,"('younger', 'JJR')",JJR,younger,younger,100
1,0,0,3,"('and', 'CC')",CC,and,and,100
1,0,0,4,"('more', 'RBR')",RBR,more,more,100
1,0,0,5,"('vulnerable', 'JJ')",JJ,vulnerable,vulnerable,100
1,0,0,6,"('years', 'NNS')",NNS,years,years,100
1,0,0,7,"('my', 'PRP$')",PRP$,my,my,100
1,0,0,8,"('father', 'NN')",NN,father,father,100
1,0,0,9,"('gave', 'VBD')",VBD,gave,gave,100
1,0,0,10,"('me', 'PRP')",PRP,me,me,100
1,0,0,11,"('some', 'DT')",DT,some,some,100
1,0,0,12,"('advice', 'NN')",NN,advice,advice,100
1,1,0,0,"('that', 'IN')",IN,that,that,100
1,1,0,1,"('I', 'PRP')",PRP,I,i,100
1,1,0,2,"('’', 'VBP')",VBP,’,,100
1,1,0,3,"('ve', 'RB')",RB,ve,ve,100
1,1,0,4,"('been', 'VBN')",VBN,been,been,100
1,1,0,5,"('turning', 'VBG')",VBG,turning,turning,100
1,1,0,6,"('over', 'IN')",IN,over,over,100
1,1,0,7,"('in', 'IN')",IN,in,in,100
1,1,0,8,"('my', 'PRP$')",PRP$,my,my,100
1,1,0,9,"('mind', 'NN')",NN,mind,mind,100
1,1,0,10,"('ever', 'RB')",RB,ever,ever,100
1,1,0,11,"('since', 'IN')",IN,since,since,100
1,1,0,12,"('.', '.')",.,.,,100
1,2,0,0,"('“', 'VB')",VB,“,,100
1,2,0,1,"('Whenever', 'WRB')",WRB,Whenever,whenever,100
1,2,0,2,"('you', 'PRP')",PRP,you,you,100
1,2,0,3,"('feel', 'VBP')",VBP,feel,feel,100
1,2,0,4,"('like', 'IN')",IN,like,like,100
1,2,0,5,"('criticizing', 'VBG')",VBG,criticizing,criticizing,100
1,2,0,6,"('anyone', 'NN')",NN,anyone,anyone,100
1,2,0,7,"(',', ',')",",",",",,100
1,2,0,8,"('”', 'NN')",NN,”,,100
1,2,0,9,"('he', 'PRP')",PRP,he,he,100
1,2,0,10,"('told', 'VBD')",VBD,told,told,100
1,2,0,11,"('me', 'PRP')",PRP,me,me,100
1,2,0,12,"(',', ',')",",",",",,100
1,2,0,13,"('“', 'VBZ')",VBZ,“,,100
1,2,0,14,"('just', 'RB')",RB,just,just,100
1,3,0,0,"('remember', 'VB')",VB,remember,remember,100
1,3,0,1,"('that', 'IN')",IN,that,that,100
1,3,0,2,"('all', 'PDT')",PDT,all,all,100
1,3,0,3,"('the', 'DT')",DT,the,the,100
1,3,0,4,"('people', 'NNS')",NNS,people,people,100
1,3,0,5,"('in', 'IN')",IN,in,in,100
1,3,0,6,"('this', 'DT')",DT,this,this,100
1,3,0,7,"('world', 'NN')",NN,world,world,100
1,3,0,8,"('haven', 'NN')",NN,haven,haven,100
1,3,0,9,"('’', 'NNP')",NNP,’,,100
1,3,0,10,"('t', 'NN')",NN,t,t,100
1,3,0,11,"('had', 'VBD')",VBD,had,had,100
1,3,0,12,"('the', 'DT')",DT,the,the,100
1,3,0,13,"('advantages', 'NNS')",NNS,advantages,advantages,100
1,4,0,0,"('that', 'IN')",IN,that,that,100
1,4,0,1,"('you', 'PRP')",PRP,you,you,100
1,4,0,2,"('’', 'VBP')",VBP,’,,100
1,4,0,3,"('ve', 'NNS')",NNS,ve,ve,100
1,4,0,4,"('had', 'VBD')",VBD,had,had,100
1,4,0,5,"('.', '.')",.,.,,100
1,4,0,6,"('”', 'NN')",NN,”,,100
1,5,0,0,"('He', 'PRP')",PRP,He,he,100
1,5,0,1,"('didn', 'VBZ')",VBZ,didn,didn,100
1,5,0,2,"('’', 'JJ')",JJ,’,,100
1,5,0,3,"('t', 'NNS')",NNS,t,t,100
1,5,0,4,"('say', 'VBP')",VBP,say,say,100
1,5,0,5,"('any', 'DT')",DT,any,any,100
1,5,0,6,"('more', 'JJR')",JJR,more,more,100
1,5,0,7,"(',', ',')",",",",",,100
1,5,0,8,"('but', 'CC')",CC,but,but,100
1,5,0,9,"('we', 'PRP')",PRP,we,we,100
1,5,0,10,"('’', 'VBP')",VBP,’,,100
1,5,0,11,"('ve', 'JJ')",JJ,ve,ve,100
1,5,0,12,"('always', 'RB')",RB,always,always,100
1,5,0,13,"('been', 'VBN')",VBN,been,been,100
1,5,0,14,"('unusually', 'RB')",RB,unusually,unusually,100
1,5,0,15,"('communicative', 'JJ')",JJ,communicative,communicative,100
1,6,0,0,"('in', 'IN')",IN,in,in,100
1,6,0,1,"('a', 'DT')",DT,a,a,100
1,6,0,2,"('reserved', 'JJ')",JJ,reserved,reserved,100
1,6,0,3,"('way', 'NN')",NN,way,way,100
1,6,0,4,"(',', ',')",",",",",,100
1,6,0,5,"('and', 'CC')",CC,and,and,100
1,6,0,6,"('I', 'PRP')",PRP,I,i,100
1,6,0,7,"('understood', 'VBP')",VBP,understood,understood,100
1,6,0,8,"('that', 'IN')",IN,that,that,100
1,6,0,9,"('he', 'PRP')",PRP,he,he,100
1,6,0,10,"('meant', 'VBD')",VBD,meant,meant,100
1,6,0,11,"('a', 'DT')",DT,a,a,100
1,6,0,12,"('great', 'JJ')",JJ,great,great,100
1,6,0,13,"('deal', 'NN')",NN,deal,deal,100
1,6,0,14,"('more', 'RBR')",RBR,more,more,100
1,7,0,0,"('than', 'IN')",IN,than,than,100
1,7,0,1,"('that', 'DT')",DT,that,that,100
1,7,0,2,"('.', '.')",.,.,,100
1,7,1,0,"('In', 'IN')",IN,In,in,100
1,7,1,1,"('consequence', 'NN')",NN,consequence,consequence,100
1,7,1,2,"(',', ',')",",",",",,100
1,7,1,3,"('I', 'PRP')",PRP,I,i,100
1,7,1,4,"('’', 'VBP')",VBP,’,,100
1,7,1,5,"('m', 'RB')",RB,m,m,100
1,7,1,6,"('inclined', 'VBN')",VBN,inclined,inclined,100
1,7,1,7,"('to', 'TO')",TO,to,to,100
1,7,1,8,"('reserve', 'VB')",VB,reserve,reserve,100
1,7,1,9,"('all', 'DT')",DT,all,all,100
1,7,1,10,"('judgements', 'NNS')",NNS,judgements,judgements,100
1,7,1,11,"(',', ',')",",",",",,100
1,7,1,12,"('a', 'DT')",DT,a,a,100
1,8,0,0,"('habit', 'NN')",NN,habit,habit,100
1,8,0,1,"('that', 'WDT')",WDT,that,that,100
1,8,0,2,"('has', 'VBZ')",VBZ,has,has,100
1,8,0,3,"('opened', 'VBN')",VBN,opened,opened,100
1,8,0,4,"('up', 'RP')",RP,up,up,100
1,8,0,5,"('many', 'JJ')",JJ,many,many,100
1,8,0,6,"('curious', 'JJ')",JJ,curious,curious,100
1,8,0,7,"('natures', 'NNS')",NNS,natures,natures,100
