chap_num,para_num,sent_num,sent_str
1,0,0,In my younger and more vulnerable years my father gave me some advice
1,1,0,that I’ve been turning over in my mind ever since
1,2,0,"“Whenever you feel like criticizing anyone,” he told me, “just"
1,3,0,remember that all the people in this world haven’t had the advantages
1,4,0,that you’ve had
1,4,1,”
1,5,0,"He didn’t say any more, but we’ve always been unusually communicative"
1,6,0,"in a reserved way, and I understood that he meant a great deal more"
1,7,0,than that
1,7,1," In consequence, I’m inclined to reserve all judgements, a"
1,8,0,habit that has opened up many curious natures to me and also made me
1,9,0,the victim of not a few veteran bores
1,9,1, The abnormal mind is quick to
1,10,0,detect and attach itself to this quality when it appears in a normal
1,11,0,"person, and so it came about that in college I was unjustly accused of"
1,12,0,"being a politician, because I was privy to the secret griefs of wild,"
1,13,0,unknown men
1,13,1, Most of the confidences were unsought—frequently I have
1,14,0,"feigned sleep, preoccupation, or a hostile levity when I realized by"
1,15,0,some unmistakable sign that an intimate revelation was quivering on
1,16,0,the horizon
1,16,1," for the intimate revelations of young men, or at least"
1,17,0,"the terms in which they express them, are usually plagiaristic and"
1,18,0,marred by obvious suppressions
1,18,1, Reserving judgements is a matter of
1,19,0,infinite hope
1,19,1, I am still a little afraid of missing something if I
1,20,0,"forget that, as my father snobbishly suggested, and I snobbishly"
1,21,0,"repeat, a sense of the fundamental decencies is parcelled out"
1,22,0,unequally at birth
1,23,0,"And, after boasting this way of my tolerance, I come to the admission"
1,24,0,that it has a limit
1,24,1, Conduct may be founded on the hard rock or the
1,25,0,"wet marshes, but after a certain point I don’t care what it’s founded"
1,26,0,on
1,26,1, When I came back from the East last autumn I felt that I wanted
1,27,0,the world to be in uniform and at a sort of moral attention forever
1,27,1, I
1,28,0,wanted no more riotous excursions with privileged glimpses into the
1,29,0,human heart
1,29,1," Only Gatsby, the man who gives his name to this book, was"
1,30,0,"exempt from my reaction—Gatsby, who represented everything for which I"
1,31,0,have an unaffected scorn
1,31,1, If personality is an unbroken series of
1,32,0,"successful gestures, then there was something gorgeous about him, some"
1,33,0,"heightened sensitivity to the promises of life, as if he were related"
1,34,0,to one of those intricate machines that register earthquakes ten
1,35,0,thousand miles away
1,35,1, This responsiveness had nothing to do with that
1,36,0,flabby impressionability which is dignified under the name of the
1,37,0,"“creative temperament”—it was an extraordinary gift for hope, a"
1,38,0,romantic readiness such as I have never found in any other person and
1,39,0,which it is not likely I shall ever find again
1,39,1, No—Gatsby turned out
1,40,0,all right at the end
1,40,1," it is what preyed on Gatsby, what foul dust"
1,41,0,floated in the wake of his dreams that temporarily closed out my
1,42,0,interest in the abortive sorrows and short-winded elations of men
1,43,0,------------------------------------------------------------------------
1,44,0,"My family have been prominent, well-to-do people in this Middle"
1,45,0,Western city for three generations
1,45,1, The Carraways are something of a
1,46,0,"clan, and we have a tradition that we’re descended from the Dukes of"
